Transmittance
0.68126
0.68551
0.68862
0.69074
0.69219
0.69325
0.69401
0.69433
0.69395
0.6927
0.69059
0.68777
0.68435
0.6803
0.67549
0.66985
0.66364
0.65747
0.65222
0.6487
0.64733
0.64797
0.64997
0.65241
0.6544
0.65532
0.65492
0.65329
0.65073
0.64757
0.64409
0.6404
0.63659
0.63275
0.62908
0.62591
0.62353
0.62214
0.62171
0.62203
0.62281
0.62378
0.62476
0.62568
0.6265
0.62718
0.62767
0.62797
0.6281
0.62809
0.62797
0.62772
0.62729
0.62667
0.62589
0.62502
0.62408
0.62302
0.62172
0.62002
0.61785
0.61524
0.61234
0.60933
0.60641
0.60371
0.60134
0.59939
0.59795
0.59712
0.59693
0.59739
0.59843
0.59997
0.60191
0.60422
0.60695
0.61022
0.61417
0.61887
0.62426
0.63014
0.63619
0.6421
0.64761
0.65258
0.65699
0.66088
0.6643
0.66728
0.66984
0.67198
0.67374
0.67511
0.6761
0.67674
0.67705
0.67709
0.67695
0.67669
0.67641
0.67612
0.67584
0.67557
0.67536
0.67524
0.67527
0.67549
0.67587
0.67637
0.67691
0.67746
0.67798
0.67846
0.67891
0.67932
0.6797
0.68006
0.6804
0.6807
0.6809
0.6809
0.68065
0.68016
0.67952
0.67887
0.67833
0.6779
0.67745
0.67674
0.67553
0.67367
0.67122
0.66842
0.66569
0.6635
0.66227
0.66222
0.66335
0.66547
0.66823
0.67131
0.67447
0.67757
0.6806
0.68358
0.6865
0.68935
0.69203
0.69447
0.69657
0.6983
0.69964
0.70061
0.70125
0.70161
0.70172
0.70163
0.70133
0.70085
0.70016
0.69923
0.69803
0.69658
0.69495
0.69325
0.69166
0.69034
0.68939
0.68887
0.68873
0.68889
0.68919
0.68948
0.6896
0.68944
0.68895
0.68812
0.68702
0.68579
0.68462
0.68371
0.68324
0.68333
0.68402
0.68524
0.68686
0.68874
0.69071
0.69265
0.69445
0.69601
0.69726
0.69818
0.69879
0.69917
0.69942
0.69968
0.70008
0.70072
0.70168
0.70299
0.70462
0.70649
0.70847
0.71039
0.7121
0.7135
0.71454
0.71528
0.71581
0.71628
0.71678
0.71738
0.71804
0.7187
0.71927
0.7197
0.71996
0.7201
0.72018
0.72026
0.72038
0.72055
0.72074
0.72089
0.72091
0.72072
0.72023
0.71944
0.71836
0.71706
0.71562
0.71407
0.7124
0.71056
0.70849
0.70613
0.70345
0.70049
0.69729
0.69396
0.69057
0.6872
0.68385
0.68052
0.67713
0.67362
0.66992
0.66597
0.66173
0.65719
0.65236
0.64723
0.64186
0.63627
0.63051
0.62463
0.61871
0.61283
0.60713
0.6018
0.59704
0.59306
0.59003
0.58809
0.58724
0.58737
0.58828
0.58966
0.59118
0.5925
0.59331
0.5933
0.59228
0.59027
0.58762
0.58509
0.58373
0.5846
0.58848
0.59553
0.60522
0.61654
0.62822
0.6392
0.64877
0.65671
0.66315
0.66839
0.67275
0.67648
0.67972
